,host_response_time,host_response_rate,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,ano,mes
'host_response_time','host_response_rate','host_is_superhost','host_listings_count','latitude','longitude','property_type','room_type','accommodates','bathrooms','bedrooms','beds','bed_type','amenities','price','security_deposit','cleaning_fee','guests_included','extra_people','minimum_nights','maximum_nights','number_of_reviews','review_scores_rating','review_scores_accuracy','review_scores_cleanliness','review_scores_checkin','review_scores_communication','review_scores_location','review_scores_value','instant_bookable','is_business_travel_ready','cancellation_policy','ano','mes','host_response_time'
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,within a day,100%,f,7.0,-23.01299230180847,-43.43739360054048,Bed and breakfast,Private room,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Breakfast,""Pets live on this property"",Dog(s),""Family/kid friendly"",""Suitable for events"",Washer,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",$139.00,,,1,$85.00,1,365,52,93.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,f,2.0,-22.987892592075585,-43.31698127552093,Bed and breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wheelchair accessible"",""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Patio or balcony"",""Garden or backyard"",""Beach essentials""}",$984.00,$0.00,$0.00,2,$200.00,2,20,0,,,,,,,,t,f,moderate,2018,7
,,,f,5.0,-22.915806722943746,-43.19181152048642,House,Private room,2,0.0,1.0,1.0,Real Bed,"{""Cable TV"",Wifi,Kitchen,""Paid parking off premises"",Essentials,""Lock on bedroom door"",""Host greets you""}",$50.00,$0.00,$40.00,1,$30.00,2,10,6,90.0,8.0,8.0,9.0,9.0,7.0,7.0,f,f,moderate,2018,7
,,,f,1.0,-22.90903738101952,-43.18943233696957,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,Kitchen,Doorman,Breakfast,""Pets live on this property"",Cat(s),Elevator,""Buzzer/wireless intercom"",Washer,Dryer}",$151.00,$600.00,,1,$80.00,2,730,0,,,,,,,,f,f,strict_14_with_grace_period,2018,7
,within a day,85%,f,4.0,-22.9645385697689,-43.17761451441753,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Wheelchair accessible"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly""}",$368.00,,,4,$15.00,1,730,0,,,,,,,,f,f,flexible,2018,7
,,,f,2.0,-22.902841108842694,-43.222474674972936,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Shampoo}",$581.00,,,1,$232.00,1,365,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.97000440296209,-43.18822800527058,Apartment,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace""}",$314.00,$452.00,$90.00,1,$0.00,2,31,73,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,2018,7
,within an hour,100%,f,2.0,-22.98096423450232,-43.237176832846174,Apartment,Private room,3,2.0,1.0,1.0,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",""Family/kid friendly"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",$101.00,,$50.00,2,$50.00,1,365,4,100.0,10.0,10.0,10.0,10.0,9.0,10.0,t,f,flexible,2018,7
,,,f,2.0,-22.917873203136946,-43.18660583033554,Bed and breakfast,Shared room,1,,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),""Hot tub"",""Family/kid friendly"",Washer,Dryer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron}",$132.00,,,1,$50.00,2,365,21,96.0,10.0,9.0,10.0,10.0,9.0,9.0,t,f,strict_14_with_grace_period,2018,7
,within an hour,100%,t,5.0,-22.892280332169868,-43.35647839203197,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Dog(s),""Free street parking"",""Family/kid friendly"",Washer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you""}",$120.00,$0.00,$0.00,1,$0.00,1,365,4,95.0,9.0,10.0,10.0,9.0,8.0,9.0,t,f,moderate,2018,7
,within an hour,100%,f,1.0,-22.9752917718976,-43.18853661141843,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,Essentials,Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",$198.00,,,1,$0.00,3,720,1,,,,,,,,t,f,flexible,2018,7
,within a few hours,100%,f,2.0,-22.969947020877687,-43.18878807659534,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",""Host greets you""}",$314.00,$2,000.00,$150.00,2,$0.00,2,270,9,96.0,10.0,10.0,9.0,10.0,10.0,9.0,f,f,strict_14_with_grace_period,2018
,within an hour,100%,f,1.0,-22.936929183150728,-43.19098433088751,Apartment,Private room,1,2.0,1.0,2.0,Real Bed,"{Internet,Wifi,Kitchen,Doorman,""Pets live on this property"",Cat(s),""Free street parking"",""Buzzer/wireless intercom"",Washer,Essentials,""Lock on bedroom door"",""24-hour check-in"",""Laptop friendly workspace"",""Private entrance"",Refrigerator,""Well-lit path to entrance"",""Host greets you""}",$77.00,$0.00,$0.00,1,$93.00,1,45,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,moderate,2018,7
,,,f,2.0,-22.915487712984508,-43.226262298050486,House,Private room,3,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""translation missing: en.hosting_amenity_50""}",$298.00,,,1,$50.00,1,730,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,2018,7
,,,f,1.0,-22.94485039003764,-43.19149289637024,Apartment,Entire home/apt,4,2.0,2.0,4.0,Real Bed,"{Internet,Wifi,""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,""Fire extinguisher"",Essentials}",$120.00,,$140.00,1,$150.00,2,30,0,,,,,,,,f,f,flexible,2018,7
,within a few hours,100%,f,1.0,-22.91916456836233,-43.17930722892988,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,Pool,Kitchen,Doorman,Gym,Breakfast,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$39.00,,,1,$0.00,3,1125,25,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,f,2.0,-22.919491198854505,-43.22557608265069,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",$97.00,$387.00,$39.00,1,$39.00,1,180,2,80.0,10.0,10.0,10.0,10.0,8.0,9.0,f,f,flexible,2018,7
,within an hour,100%,t,6.0,-22.913507650036355,-43.1812470817139,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Step-free access""}",$151.00,,,2,$50.00,2,365,224,96.0,10.0,10.0,10.0,10.0,9.0,9.0,t,f,strict_14_with_grace_period,2018,7
,within an hour,100%,f,10.0,-22.98345232580772,-43.220198131807656,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$589.00,$1,000.00,$100.00,2,$0.00,3,120,12,100.0,9.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018
,within a few hours,100%,t,1.0,-22.980015225107746,-43.22371218359892,Apartment,Entire home/apt,4,1.0,2.0,3.0,Pull-out Sofa,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you""}",$244.00,$376.00,$150.00,2,$0.00,3,1125,14,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,flexible,2018,7
,,,f,1.0,-22.97193303994361,-43.20359234346541,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Washer,Dryer}",$1,937.00,,,1,$0.00,21,365,0,,,,,,,,f,f,strict_14_with_grace_period,2018
,within an hour,100%,f,3.0,-22.98606274268977,-43.19513412350389,Apartment,Entire home/apt,4,,3.0,1.0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly""}",$465.00,$2,712.00,$349.00,3,$232.00,6,365,28,88.0,9.0,8.0,9.0,8.0,10.0,9.0,f,f,strict_14_with_grace_period,2018
,within a few hours,100%,f,2.0,-22.9539422468228,-43.17405663652501,Loft,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Children’s books and toys"",Waterfront}",$1,550.00,$3,874.00,$194.00,2,$194.00,3,367,17,98.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,strict_14_with_grace_period
,within an hour,100%,f,1.0,-22.98219611984617,-43.18960155583384,Apartment,Private room,2,2.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",Iron,""Private entrance"",""Hot water"",""Host greets you""}",$132.00,$239.00,,1,$0.00,2,365,65,90.0,9.0,9.0,9.0,10.0,10.0,9.0,t,f,moderate,2018,7
,,,f,1.0,-22.903452962504904,-43.242529450500655,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Doorman,Breakfast,""Pets live on this property"",Cat(s),Elevator,""Buzzer/wireless intercom""}",$201.00,,$50.00,1,$190.00,1,10,0,,,,,,,,f,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.92590836340108,-43.18032612408575,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,{TV,Doorman,Elevator},$775.00,$1,550.00,$39.00,1,$0.00,2,5,0,,,,,,,,f,f
,,,f,1.0,-22.929042244520247,-43.561201974506496,House,Entire home/apt,8,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Family/kid friendly""}",$201.00,$250.00,$25.00,1,$50.00,2,60,0,,,,,,,,f,f,moderate,2018,7
,within a few hours,100%,t,3.0,-22.960990589593308,-43.19933504993541,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free street parking"",""Family/kid friendly"",Washer,""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Host greets you"",Waterfront}",$194.00,$387.00,$116.00,2,$0.00,3,365,66,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,moderate,2018,7
,within a day,100%,f,3.0,-22.80939938208928,-43.18193993470328,House,Private room,6,4.0,3.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$271.00,$581.00,$387.00,2,$101.00,2,365,3,100.0,10.0,10.0,10.0,10.0,9.0,10.0,t,f,strict_14_with_grace_period,2018,7
,within a day,100%,f,3.0,-22.81166188792924,-43.18182389934622,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Air conditioning"",Pool,Kitchen,Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer}",$271.00,$387.00,$194.00,1,$101.00,2,730,0,,,,,,,,f,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-23.067748289041283,-43.56664427145989,House,Shared room,1,0.0,1.0,1.0,Real Bed,{},$116.00,,,1,$0.00,1,730,0,,,,,,,,f,f,flexible,2018,7
,within an hour,100%,f,1.0,-23.017688899527556,-43.47226645273474,Apartment,Entire home/apt,6,3.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Elevator,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallway clearance"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Step-free access"",""Wide entryway"",""Host greets you"",""Handheld shower head""}",$298.00,,$157.00,1,$0.00,4,30,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.973036103921487,-43.41490351987193,Earth house,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Elevator,Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace""}",$143.00,$0.00,$150.00,1,$0.00,1,730,0,,,,,,,,f,f,flexible,2018,7
,,,f,4.0,-22.96403035258751,-43.40828552299928,House,Private room,9,1.5,3.0,5.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",Breakfast,""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$139.00,$500.00,$50.00,1,$99.00,2,90,4,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,f,moderate,2018,7
,within an hour,100%,t,3.0,-22.97534570275504,-43.19123675839346,Apartment,Entire home/apt,3,1.5,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Building staff"",""Window guards"",""Pack ’n Play/travel crib"",""Hot water"",""Long term stays allowed""}",$236.00,$600.00,$150.00,2,$60.00,4,400,45,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,strict_14_with_grace_period,2018,7
,,,f,1.0,-22.91976500418145,-43.21884310015255,Apartment,Private room,2,,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom""}",$120.00,$0.00,$80.00,1,$80.00,1,730,5,87.0,9.0,9.0,9.0,9.0,9.0,9.0,t,f,flexible,2018,7
,within an hour,100%,t,10.0,-22.97936532816185,-43.19157463675577,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Babysitter recommendations"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",$108.00,$550.00,$130.00,3,$0.00,2,180,59,91.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,flexible,2018,7
,,,f,1.0,-22.982493444709505,-43.19221811268892,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,""Lock on bedroom door"",""translation missing: en.hosting_amenity_50"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",$116.00,$0.00,$0.00,2,$50.00,5,15,10,91.0,9.0,9.0,10.0,10.0,10.0,9.0,f,f,moderate,2018,7
,,,f,1.0,-22.966556498796614,-43.18575150493299,Apartment,Entire home/apt,4,1.0,0.0,3.0,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers,Iron}",$170.00,$500.00,$100.00,1,$100.00,3,180,0,,,,,,,,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,t,10.0,-22.986461392722862,-43.19355122163183,Apartment,Entire home/apt,5,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Garden or backyard"",""Long term stays allowed"",""Wide clearance to bed"",""Accessible-height bed"",""Host greets you"",""Paid parking on premises""}",$136.00,$900.00,$130.00,3,$50.00,2,180,40,94.0,9.0,9.0,10.0,10.0,10.0,9.0,f,f,moderate,2018,7
,,,f,1.0,-22.92481331590572,-43.52122893060236,House,Private room,2,,1.0,,Real Bed,{},$333.00,,,1,$0.00,1,730,0,,,,,,,,f,f,flexible,2018,7
,within an hour,100%,t,10.0,-22.97702085851378,-43.1886665064888,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Step-free access"",""Host greets you"",""Paid parking on premises""}",$112.00,$600.00,$130.00,2,$40.00,2,180,51,94.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,flexible,2018,7
,within an hour,100%,t,10.0,-22.971647796801715,-43.18843013894249,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Host greets you"",""Paid parking on premises""}",$112.00,$600.00,$130.00,3,$50.00,2,180,81,92.0,9.0,9.0,10.0,10.0,10.0,9.0,f,f,moderate,2018,7
,,,f,1.0,-22.994423264599543,-43.23543954519025,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",Washer,""24-hour check-in""}",$298.00,$639.00,$232.00,2,$232.00,3,30,1,60.0,6.0,10.0,10.0,10.0,10.0,10.0,t,f,strict_14_with_grace_period,2018,7
,within an hour,100%,t,10.0,-22.98018940239491,-43.19339204911591,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Babysitter recommendations"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Well-lit path to entrance"",""Step-free access"",""Host greets you"",""Paid parking on premises""}",$97.00,$500.00,$120.00,2,$30.00,2,180,61,88.0,9.0,9.0,10.0,10.0,9.0,9.0,f,f,flexible,2018,7
,within a few hours,100%,t,3.0,-22.96260056567852,-43.17704313584854,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$101.00,$480.00,$150.00,1,$0.00,3,28,40,94.0,10.0,10.0,10.0,10.0,9.0,9.0,f,f,strict_14_with_grace_period,2018,7
,within an hour,100%,t,2.0,-22.97964486575173,-43.19210232619778,Apartment,Entire home/apt,5,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$446.00,$1,550.00,$504.00,4,$77.00,3,95,152,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t,f,moderate,2018
